1CagePosition,1Stance,1StrikeAbsorbed,1StrikeLanded,1TopCombo,2StrikeAbsorbed,2StrikeLanded,2TopCombo,3StrikeAbsorbed,3StrikeLanded,3TopCombo,BodyABS,BodyLocksPer25,BodyTargeting,ChinGrade,Company,DefensiveGrade,DoubleLegsPer25,FighterGrade,FightsTracked,GrapplingGrade,HeadABS,HeadTargeting,HighImpactDropPercent,HighImpactDroppedPercent,HighImpactStrikePercent,HighImpactStunPercent,HighImpactStunnedPercent,Image,KickLandRate,KickLandRateAV,KickPlusMinus,KickingGrade,KicksLPM,KicksTPM,KnockdownsPer25,KnockdownsPer25AV,LastFighterGrade,LeftBodyKick,LeftHandABS,LeftHandThrowPercent,LeftHiKick,LeftHookHiMake,LeftHookLoMake,LeftJabHiMake,LeftJabLoMake,LeftLegKick,LeftOverhandMake,LeftStraightHiMake,LeftStraightLoMake,LegABS,LegTargeting,LowImpactStrikePercent,MinutesTracked,OrthodoxOppBodyKicks,OrthodoxOppHeadKicks,OrthodoxOppHooks,OrthodoxOppJabs,OrthodoxOppLegKicks,OrthodoxOppOverhands,OrthodoxOppStraights,OrthodoxOppUppercuts,PunchLandRate,PunchLandRateAV,PunchPlusMinus,PunchesLPM,PunchesTPM,RecordAgainstOrthodox,RecordAgainstSouthpaw,RecordAgainstSwitch,RightBodyKick,RightHandABS,RightHandThrowPercent,RightHiKick,RightHookHiMake,RightHookLoMake,RightJabHiMake,RightJabLoMake,RightLegKick,RightOverhandMake,RightStraightHiMake,RightStraightLoMake,Round1Output,Round1StrikesLanded,Round2Output,Round2StrikesLanded,Round3Output,Round3StrikesLanded,Round4Output,Round4StrikesLanded,Round5Output,Round5StrikesLanded,RoundsTracked,SingleLegsPer25,SouthpawOppBodyKicks,SouthpawOppHeadKicks,SouthpawOppHooks,SouthpawOppJabs,SouthpawOppLegKicks,SouthpawOppOverhands,SouthpawOppStraights,SouthpawOppUppercuts,StrikeLandRate,StrikeLandRateAV,StrikePlusMinus,StrikesLPM,StrikesTPM,StrikingGrade,StunsPer25,StunsPer25AV,SubAttemptsPer25,SubAttemptsPer25AV,SwitchOppBodyKicks,SwitchOppHeadKicks,SwitchOppHooks,SwitchOppJabs,SwitchOppLegKicks,SwitchOppOverhands,SwitchOppStraights,SwitchOppUppercuts,TDDefense,TakedownRate,TakedownRateAV,ThrowsPer25,TimesBodyLocksPer25,TimesDoubleLegsPer25,TimesKnockedDownPer25,TimesKnockedDownPer25AV,TimesSingleLegsPer25,TimesStunnedPer25,TimesStunnedPer25AV,TimesThrowsPer25,TimesTripsPer25,TotalClinchStrikesToTheBody,TotalClinchStrikesToTheHead,TotalElbows,TotalGroundStrikesToTheBody,TotalGroundStrikesToTheHead,TripsPer25,_id,clinchPOSStrikes,draw,fer,fighterCode,fighterName,gender,grapplingGameplans,groundPOSStrikes,height,kickapm,loopingPunches,loopingPunchesAbs,loss,nickname,offensiveRating,origin,punchapm,reach,searchFights,standingPOSStrikes,straightPunches,straightPunchesAbs,strikeapm,strikingGameplans,weight,wins
Ground-Bottom,Orthodox,Jabs,Right Hook to Head,No Data,Hooks,Left Jab to Head,No Data,Crosses,Left Hook to Head,No Data,0,0,15%,0,UFC,0,0,0,1,0,0,79%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2023-03/MAIA_JENNIFER_03-18.png,57.1%,62.2%,-6,0,0.2,0.3,0,0.3,0,0.0%,0,48%,1.4%,5.4%,1.4%,8.1%,0.0%,2.7%,0.0%,0.0%,0.0%,0,5%,0,25,0,0,0,0,0,0,0,0,35.0%,39.2%,-21,1.1,3.2,0-0,0-0,0-1,1.4%,0,52%,0.0%,9.5%,1.4%,0.0%,0.0%,0.0%,0.0%,2.7%,0.0%,19%,19.5%,32%,31.9%,17%,16.8%,7%,7.1%,25%,24.8%,5,0,0,0,0,0,0,0,0,0,53.2%,52.5%,-27,3,5.6,0,0,0.7,1,1.3,1,1,13,6,2,0,2,2,0%,0%,,0,5,0,0,0.4,0,0,0.6,0,0,4.1%,2.7%,9.5%,12.2%,37.8%,0,6480bbcb59b391b3ca0a1983,7%,1,31.9,JenniferMaia,Jennifer Maia,Female,1,50%,"5'4""",0.4,62%,44%,9,,98.3,"Curitiba, Brazil",1.8,64,https://www.fightstats.xyz/search?q=Jennifer Maia,43%,38%,56%,2.2,0,Womens Flyweight,21
Pressuring,Orthodox,Leg Kicks,Right Hook to Head,No Data,Body Kicks,Left Jab to Head,No Data,Hooks,Left Hook to Head,No Data,0,0,10%,0,UFC,0,2.3,0,4,0,0,67%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2021-04/68227%252Fprofile-galery%252Fprofile-picture%252FSTEPHENS_JEREMY_04-17.png?VersionId=null,47.1%,66.0%,-24,0,0.4,0.8,1.1,0.7,0,1.3%,0,50%,0.0%,5.3%,0.0%,8.0%,0.0%,5.3%,0.0%,0.0%,0.0%,0,23%,0,22,0,0,0,0,0,0,0,0,24.0%,41.7%,2,1,4.4,1-1,0-0,0-1,0.0%,0,50%,0.0%,9.3%,2.7%,0.0%,0.0%,4.0%,0.0%,1.3%,0.0%,25%,24.7%,36%,36.5%,39%,38.8%,0%,0.0%,0%,0.0%,7,0,0,0,0,0,0,0,0,0,42.2%,52.9%,-22,3.5,8.4,0,1.1,1.1,1.1,1.2,0,0,0,0,0,0,0,0,64%,100.0%,,0,0,0,1.1,0.6,1.1,1.1,1.1,0,0,0.0%,2.7%,0.0%,24.0%,36.0%,2.3,6480bbcb59b391b3ca0a1984,3%,0,27.4,Jeremy StephensLil Heathen,Jeremy Stephens,Male,1,58%,"5'9""",1.5,65%,50%,19,Lil Heathen,84.5,"Des Moines, United States",0.8,71,https://www.fightstats.xyz/search?q=Jeremy Stephens,40%,35%,50%,2.3,3,Lightweight,28
Center Octagon,Orthodox,Jabs,Left Hook to Head,LeftHookHi + RightStraightHi + LeftHookHi,Crosses,Left Leg Kick,LeftHookHi + RightHookHi + LeftHookHi,Hooks,Right Leg Kick,No Data,0,0.4,16%,0,UFC,0,0,0,9,0,0,60%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/3024395.png,79.1%,62.2%,71,0,1.9,2.4,0.4,0.3,0,1.2%,0,54%,0.0%,24.5%,1.2%,9.1%,0.7%,12.9%,0.2%,0.0%,0.0%,0,24%,0,62,0,0,0,0,0,0,0,0,43.7%,39.2%,38,5.3,12.1,3-3,0-1,2-0,0.9%,0,46%,0.2%,10.7%,5.4%,0.0%,0.0%,12.1%,0.2%,7.2%,0.5%,58%,58.2%,33%,33.1%,9%,8.8%,0%,0.0%,0%,0.0%,16,1.2,0,0,0,0,0,0,0,0,51.8%,52.5%,109,8,15.5,0,3.6,0.7,0.4,1.3,0,0,0,0,0,0,0,0,74%,41.7%,,0.4,1.6,1.2,0.4,0.4,0,1.2,0.6,0,2,6.3%,2.8%,0.2%,2.6%,0.9%,0,6480bbcb59b391b3ca0a1985,8%,0,54.6,JessicaAndradeBate Estaca,Jessica Andrade,Female,0,3%,"5'2""",0.7,71%,18%,11,Bate Estaca,168.5,"Umuarama, Brazil",4,62,https://www.fightstats.xyz/search?q=Jessica Andrade,89%,29%,82%,4.8,9,Womens Flyweight,24
Ground-Top,Orthodox,Jabs,Right Leg Kick,No Data,Hooks,Right Straight to Head,No Data,Leg Kicks,Left Jab to Head,No Data,0,6.7,9%,0,UFC,0,3.3,0,6,0,0,43%,0,0,0,0,0,https://fight.ru/wp-content/uploads/2021/03/jimmycrutepng.png,55.3%,62.9%,18,0,1.7,3.1,5,0.8,0,0.0%,0,50%,0.0%,2.6%,0.0%,7.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0,48%,0,15,0,0,0,0,0,0,0,0,33.3%,41.0%,-16,1.3,3.8,1-1,2-2,0-0,5.1%,0,50%,0.0%,0.0%,0.0%,0.0%,0.0%,28.2%,0.0%,9.0%,0.0%,100%,100.0%,0%,0.0%,0%,0.0%,0%,0.0%,0%,0.0%,6,3.3,0,0,0,0,0,0,0,0,52.6%,52.1%,2,5.4,10.3,0,0,1,3.3,1.1,0,0,0,0,0,0,0,0,55%,76.9%,,0,0,1.7,3.3,0.9,0,0,1.1,0,0,0.0%,3.8%,1.3%,0.0%,42.3%,3.3,6480bbcc59b391b3ca0a1986,4%,1,41,JimmyCruteThe Brute,Jimmy Crute,Male,2,41%,"6'2""",0.5,13%,19%,3,The Brute,125.7,"Singleton, Australia",2.1,74,https://www.fightstats.xyz/search?q=Jimmy Crute,56%,87%,81%,2.7,3,Light Heavyweight,12
Center Octagon,Orthodox,Jabs,Left Hook to Head,No Data,Leg Kicks,Left Leg Kick,No Data,Crosses,Left Jab to Head,No Data,0,2.2,14%,0,UFC,0,0,0,3,0,0,54%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-09/JINGLIANG_LI_09-10.png,52.0%,63.9%,6,0,0.6,1.1,1.1,0.7,0,0.0%,0,76%,0.0%,17.1%,0.0%,14.3%,5.7%,17.1%,0.0%,0.0%,0.0%,0,31%,0,23,0,0,0,0,0,0,0,0,21.6%,36.6%,-29,1,4.4,1-2,0-0,0-0,5.7%,0,24%,0.0%,0.0%,0.0%,0.0%,0.0%,14.3%,2.9%,8.6%,0.0%,75%,75.0%,6%,5.6%,19%,19.4%,0%,0.0%,0%,0.0%,5,0,0,0,0,0,0,0,0,0,29.6%,47.7%,-23,1.7,5.9,0,1.1,1,0,1,0,0,0,0,0,0,0,0,42%,50.0%,,0,4.3,0,0,0.6,0,1.1,1,0,1.1,2.9%,11.4%,0.0%,0.0%,0.0%,0,6480bbcc59b391b3ca0a1987,12%,0,11,JingliangLiThe Leech,Li Jingliang,Male,0,0%,"6'0""",0.3,41%,9%,8,The Leech,35.4,"Xinjiang, China",2,71,https://www.fightstats.xyz/search?q=Li Jingliang,88%,59%,91%,2.3,3,Welterweight,19
Center Octagon,Switch,Hooks,Left Jab to Head,No Data,Crosses,Left Hook to Head,No Data,Jabs,Left Straight to Head,No Data,0,0,12%,0,UFC,0,0,0,1,0,0,85%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/3156612.png,66.7%,62.9%,1,0,0.2,0.2,1,0.8,0,1.0%,0,73%,0.0%,9.8%,2.9%,13.7%,0.0%,0.0%,0.0%,7.8%,1.0%,0,3%,0,24,0,0,0,0,0,0,0,0,35.9%,41.0%,16,2.2,6,1-0,0-0,0-0,1.0%,0,27%,0.0%,4.9%,1.0%,1.0%,0.0%,2.0%,0.0%,2.9%,0.0%,15%,14.5%,26%,25.6%,37%,36.8%,17%,17.1%,6%,6.0%,5,0,0,0,0,0,0,0,0,0,46.9%,52.1%,17,4.4,9.3,0,1,1,2.1,1.1,0,0,0,0,0,0,0,0,61%,0%,,0,1,1,1,0.9,3.1,1,1.1,0,0,0.0%,2.9%,2.9%,2.9%,42.2%,0,6480bbcd59b391b3ca0a1988,3%,1,34.7,JiriProchazkaDenisa,Jiří Procházka,Male,0,44%,"6'4""",0.1,41%,62%,3,Denisa,105.6,"Hostěradice, Czechia",1.4,80,https://www.fightstats.xyz/search?q=Jiří Procházka,53%,59%,38%,1.5,1,Light Heavyweight,29
Center Octagon,Southpaw,Jabs,Right Hook to Body,No Data,Body Kicks,Right Jab to Head,No Data,Leg Kicks,Left Hook to Body,No Data,0,0,48%,0,UFC,0,0,0,2,0,0,45%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2021-09/68272%252Fprofile-galery%252Fprofile-picture%252FBUCKLEY_JOAQUIN_09-18.png,44.0%,63.0%,-31,0,0.6,1.5,0,0.7,0,1.1%,0,38%,0.0%,10.1%,11.2%,0.0%,0.0%,4.5%,0.0%,9.0%,1.1%,0,7%,0,17,0,0,0,0,0,0,0,0,31.7%,41.4%,22,4.7,14.8,0-1,0-1,0-0,3.4%,0,62%,1.1%,7.9%,19.1%,12.4%,9.0%,2.2%,0.0%,0.0%,0.0%,56%,55.9%,43%,43.0%,1%,1.1%,0%,0.0%,0%,0.0%,5,0,0,0,0,0,0,0,0,0,34.5%,51.2%,-9,5.8,16.7,0,0,0.7,0,1.2,0,0,0,0,0,0,0,0,100%,0.0%,,0,0,0,4.4,0.7,0,0,0.7,0,0,2.2%,5.6%,0.0%,0.0%,0.0%,0,6480bbcd59b391b3ca0a1989,7%,0,38,JoaquinBuckleyNew Mansa,Joaquin Buckley,Male,0,0%,"5'8""",2.5,61%,22%,6,New Mansa,119.5,United States,3,76,https://www.fightstats.xyz/search?q=Joaquin Buckley,93%,39%,78%,5.5,2,Middleweight,15
Moving Backwards,Southpaw,Hooks,Left Straight to Head,No Data,Leg Kicks,Right Jab to Head,No Data,Jabs,Left Straight to Body,No Data,0,0,21%,0,UFC,0,0,0,2,0,0,62%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2020-08/DODSON_JOHN_02-15.png?VersionId=7sYvlKbU2FP0Q4AGjem3nNaMsJjZooHM,83.3%,63.9%,-4,0,0.2,0.2,0,0.7,0,4.3%,0,67%,0.0%,4.3%,0.0%,0.0%,0.0%,17.4%,0.0%,26.1%,17.4%,0,17%,0,30,0,0,0,0,0,0,0,0,22.9%,33.4%,3,0.6,2.8,0-1,0-0,0-0,0.0%,0,33%,0.0%,4.3%,0.0%,17.4%,0.0%,0.0%,0.0%,4.3%,0.0%,34%,34.4%,38%,37.5%,28%,28.1%,0%,0.0%,0%,0.0%,6,0,0,0,0,0,0,0,0,0,27.8%,45.2%,-1,0.8,3,0,0,0.7,0,1.1,0,0,0,0,0,0,0,0,94%,0%,,0,0,0.8,0,0.6,0,0,0.7,0,0,0.0%,4.3%,0.0%,0.0%,0.0%,0,6480bbce59b391b3ca0a198a,4%,0,7.4,JohnDodsonThe Magician,John Dodson,Male,0,0%,"5'3""",0.3,12%,47%,12,The Magician,23.1,"Albuquerque, United States",0.5,66,https://www.fightstats.xyz/search?q=John Dodson,96%,88%,53%,0.8,1,Bantamweight,22
Center Octagon,Orthodox,Leg Kicks,Left Leg Kick,No Data,Body Kicks,Right Body Kick,No Data,Hooks,Right Leg Kick,No Data,0,0.5,16%,0,UFC,0,0,0,9,0,0,46%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/3146944.png,69.6%,62.9%,23,0,1.5,2.2,1.9,0.8,0,2.7%,0,25%,0.7%,0.7%,0.0%,1.0%,0.0%,13.6%,0.0%,0.3%,0.0%,0,38%,0,52,2,1,1,4,5,3,2,0,27.0%,41.0%,-9,0.6,2.3,4-2,1-1,0-1,4.8%,0,75%,0.7%,2.7%,0.0%,1.4%,0.0%,4.8%,1.0%,1.0%,0.0%,52%,52.5%,18%,18.0%,19%,18.7%,6%,5.9%,5%,4.9%,15,0,3,0,2,1,4,0,0,0,66.4%,52.1%,14,5.2,7.8,0,0,1,1.4,1.1,15,2,7,2,43,0,1,0,54%,100.0%,,0,0.5,2.4,2.4,0.9,0.5,2.4,1.1,0,0,0.3%,1.7%,10.9%,3.7%,48.0%,0,6480bbce59b391b3ca0a198b,2%,0,41.7,JohnnyWalker,Johnny Walker,Male,0,56%,"6'6""",1.1,54%,60%,7,,127.2,"Belford Roxo, Brazil",0.6,82,https://www.fightstats.xyz/search?q=Johnny Walker,42%,46%,40%,1.7,9,Light Heavyweight,20
Pressuring,Switch,Leg Kicks,Left Leg Kick,RightLegKick + LeftJabHi + LeftJabHi,Jabs,Right Leg Kick,LeftLegKick + LeftHighKick + LeftLegKick,Hooks,Left Body Kick,No Data,0,0.6,27%,0,UFC,0,1.6,0,7,0,0,32%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/2335639.png,72.7%,72.4%,140,0,2.3,3.1,0,0.7,0,9.6%,0,69%,1.4%,3.2%,0.9%,7.7%,0.2%,22.7%,0.3%,1.0%,1.2%,0,41%,0,127,7,1,13,5,40,1,13,5,43.0%,41.8%,-51,1.5,3.4,1-0,1-0,5-0,3.2%,0,31%,0.5%,0.9%,1.0%,1.0%,0.0%,12.1%,0.2%,2.7%,0.7%,19%,19.0%,21%,21.0%,25%,24.8%,16%,15.7%,20%,19.5%,27,0,0,0,0,0,2,0,1,0,63.1%,54.8%,89,4.9,7.8,0,0.4,1,0.4,0.7,68,10,22,47,162,2,19,6,100%,48.7%,,0,0,0,0,0.8,0,0,1,0,0,4.9%,3.6%,4.6%,1.5%,14.8%,1.6,6480bbce59b391b3ca0a198c,8%,0,38.8,JonJonesBones,Jon Jones,Male,2,15%,"6'4""",1.2,31%,35%,1,Bones,119,"Rochester, United States",1.5,84,https://www.fightstats.xyz/search?q=Jon Jones,77%,69%,65%,2.6,5,Heavyweight,27
Center Octagon,Orthodox,Jabs,Right Leg Kick,LeftJabHi + RightStraightHi + LeftHookHi,Hooks,Right Body Kick,No Data,Crosses,Left Jab to Head,No Data,0,0.5,19%,0,UFC,0,0.3,0,7,0,0,60%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/2500857.png,69.1%,63.9%,83,0,1.2,1.7,1,0.7,0,3.1%,0,56%,0.0%,7.3%,0.8%,8.8%,0.3%,5.4%,0.5%,2.1%,0.0%,0,22%,0,96,3,0,4,6,16,0,3,0,40.1%,36.6%,-62,1.8,4.6,1-1,2-0,0-3,9.1%,0,44%,0.3%,5.2%,0.0%,1.3%,0.0%,11.1%,2.8%,6.7%,0.5%,43%,42.6%,32%,32.0%,18%,17.7%,6%,5.7%,2%,2.0%,21,0.3,10,1,18,8,4,5,15,4,52.3%,47.7%,21,4.2,8.1,0,0.5,1,0,1,20,0,15,13,39,3,9,0,86%,83.3%,,0,1.6,1.3,0.8,0.6,0.8,1.6,1,0.3,0.5,0.5%,5.7%,4.1%,2.6%,21.8%,0.3,6480bbcf59b391b3ca0a198d,6%,0,32.5,JorgeMasvidalGamebred,Jorge Masvidal,Male,0,23%,"5'11""",0.3,46%,39%,17,Gamebred,100,"Miami, United States",2.2,74,https://www.fightstats.xyz/search?q=Jorge Masvidal,71%,54%,61%,2.5,7,Welterweight,35
Moving Backwards,Orthodox,Jabs,Left Jab to Head,LeftJabHi + RightStraightHi + LeftJabHi,Leg Kicks,Right Leg Kick,No Data,Crosses,Right Straight to Head,No Data,0,0,35%,0,UFC,0,0,0,4,0,0,50%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-03/25c66698-f1f5-4a7d-8069-7e93d6de2fc3%252FALDO_JOSE_12-04.png,66.0%,63.9%,-29,0,0.5,0.7,0,0.7,0,3.8%,0,52%,0.0%,1.5%,9.2%,17.6%,1.5%,0.8%,0.0%,0.0%,0.0%,0,16%,0,68,3,0,7,17,6,0,3,1,37.2%,33.4%,-31,1.4,3.8,0-1,0-1,1-0,4.6%,0,48%,0.0%,3.1%,6.1%,0.0%,0.0%,14.5%,0.0%,10.7%,6.9%,28%,28.1%,37%,37.3%,24%,23.5%,10%,10.5%,1%,0.7%,14,0,8,0,13,16,12,0,18,4,43.9%,45.2%,-60,2.2,5.1,0,0.4,0.7,0.4,1.1,0,0,11,4,5,0,5,1,98%,0.0%,,0,0,0,0.4,0.6,0,1.1,0.7,0,0.4,0.8%,12.2%,1.5%,0.8%,4.6%,0,6480bbcf59b391b3ca0a198e,11%,0,15.5,JoseAldoJunior,José Aldo,Male,0,5%,"5'7""",0.9,35%,18%,8,Junior,49.1,"Manaus, Brazil",1.6,70,https://www.fightstats.xyz/search?q=José Aldo,84%,65%,82%,2.5,3,Bantamweight,31
Center Octagon,Orthodox,Jabs,Left Jab to Head,LeftJabHi + RightStraightHi + LeftJabHi,Hooks,Right Straight to Head,RightHookHi + LeftJabHi + RightStraightHi,Crosses,Right Overhand,No Data,0,0,9%,0,UFC,0,0,0,7,0,0,83%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/4011299.png,69.4%,57.5%,-37,0,0.5,0.7,1.7,0.5,0,0.6%,0,54%,0.8%,9.1%,1.4%,25.0%,0.6%,4.4%,1.0%,0.4%,0.0%,0,8%,0,88,3,3,77,110,26,44,45,9,40.3%,39.7%,47,4.2,10.4,3-1,1-0,1-1,0.2%,0,46%,0.0%,7.0%,1.9%,1.0%,0.0%,2.3%,9.9%,9.9%,1.7%,35%,35.0%,24%,24.1%,30%,30.1%,6%,5.6%,5%,5.3%,19,0,0,1,9,3,8,7,6,0,47.0%,47.4%,10,5.9,12.5,0,0.9,0.7,0,1.2,1,0,14,24,1,5,11,2,91%,0.0%,,0,0,0,0.3,0.5,0.3,1.4,0.6,0,0,0.0%,0.4%,2.3%,4.1%,16.2%,0,6480bbd059b391b3ca0a198f,0%,0,42.4,JoshEmmettCCO,Josh Emmett,Male,0,20%,"5'6""",0.9,44%,21%,3,CCO,131.8,"Phoenix, United States",3.6,70,https://www.fightstats.xyz/search?q=Josh Emmett,79%,56%,79%,4.5,7,Featherweight,18
Center Octagon,Switch,Hooks,Left Jab to Head,No Data,Jabs,Right Hook to Head,No Data,Uppercuts,Left Jab to Body,No Data,0,0,9%,0,BKFC,0,0,0,1,0,0,91%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/3001928.png,0%,63.0%,0,0,0,0,0,0.7,0,0.0%,0,64%,0.0%,6.3%,0.0%,36.5%,6.3%,0.0%,3.2%,3.2%,0.0%,0,0%,0,25,0,0,0,0,0,0,0,0,47.1%,41.4%,15,2.6,5.4,0-0,0-0,0-1,0.0%,0,36%,0.0%,19.0%,1.6%,0.0%,0.0%,0.0%,6.3%,3.2%,0.0%,25%,25.0%,25%,25.0%,8%,7.8%,25%,25.0%,17%,17.2%,5,0,0,0,0,0,0,0,0,0,49.3%,51.2%,15,2.9,5.9,0,2,0.7,0,1.2,0,0,0,0,0,0,0,0,0%,0%,,0,0,0,1,0.7,0,2,0.7,0,0,1.6%,12.7%,0.0%,0.0%,0.0%,0,6480bbd059b391b3ca0a1990,12%,0,18,JulianLaneNight Train,Julian Lane,Male,0,0%,"5'10""",0,43%,56%,7,Night Train,55.5,Virginia,1.6,70,https://www.fightstats.xyz/search?q=Julian Lane,88%,57%,44%,1.6,1,Middleweight,4
Center Octagon,Orthodox,Leg Kicks,Right Leg Kick,LeftJabHi + RightStraightHi + LeftJabHi,Jabs,Left Jab to Head,No Data,Hooks,Left Jab to Body,No Data,0,0,26%,0,UFC,0,0,0,5,0,0,54%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2020-08/DOS_SANTOS_JUNIOR_03-09.png?VersionId=n.388QxOuNjh56Rtf6DV8rncjlBLW882,56.1%,72.4%,-43,0,0.8,1.5,0.9,0.7,0,0.0%,0,57%,0.0%,4.8%,1.2%,13.1%,10.7%,4.8%,0.0%,0.0%,0.0%,0,20%,0,28,0,0,0,0,0,0,0,0,43.5%,41.8%,-10,2,4.7,1-2,0-0,0-2,8.3%,0,43%,0.0%,1.2%,0.0%,0.0%,0.0%,14.3%,7.1%,7.1%,4.8%,59%,58.6%,41%,41.4%,0%,0.0%,0%,0.0%,0%,0.0%,9,0,0,0,0,0,0,0,0,0,50.0%,54.8%,-53,3.5,7.1,0,2.7,1,0,0.7,0,0,0,0,0,0,0,0,100%,0%,,0,0,0,2.7,0.8,0,5.4,1,0,0,0.0%,15.5%,0.0%,0.0%,7.1%,0,6480bbd159b391b3ca0a1991,13%,0,21,JuniorDos SantosCigano,Junior Dos Santos,Male,0,6%,"6'4""",2.4,29%,42%,0,Cigano,67.3,,1.9,,https://www.fightstats.xyz/search?q=Junior Dos Santos,81%,71%,58%,4.3,4,Heavyweight,0
Center Octagon,Orthodox,Jabs,Left Hook to Head,No Data,Hooks,Left Jab to Head,No Data,Crosses,Right Straight to Head,No Data,0,1.7,6%,0,UFC,0,0.8,0,2,0,0,81%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/image/1/229/HeadshotPNGs/FORMIGA_JUSSIER.png?VersionId=Pk6Nk5NDMmU_nnV7jcInQOJKmFxeFjrp,55.6%,62.2%,-2,0,0.2,0.3,0,0.3,0,0.0%,0,71%,0.0%,9.3%,1.0%,7.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0,13%,0,30,1,0,10,7,4,2,4,1,43.9%,39.2%,-12,0.8,1.9,1-1,0-0,0-0,1.0%,0,29%,0.0%,0.0%,0.0%,0.0%,0.0%,4.1%,2.1%,4.1%,0.0%,34%,33.9%,44%,43.8%,22%,22.3%,0%,0.0%,0%,0.0%,6,2.5,0,0,0,0,0,0,0,0,68.3%,52.5%,-14,3.2,4.7,0,0,0.7,2.5,1.3,0,0,0,0,0,0,0,0,55%,58.3%,,0,0.8,0,0,0.4,0,0,0.6,0,0,0.0%,0.0%,2.1%,16.5%,52.6%,0.8,6480bbd159b391b3ca0a1992,0%,0,27.6,JussierFormiga,Jussier Formiga,Male,2,69%,"5'5""",0.2,52%,31%,8,,84.2,"State Of Rio Grande Do Norte, Brazil",1.2,67,https://www.fightstats.xyz/search?q=Jussier Formiga,31%,48%,69%,1.4,0,Flyweight,23
Center Octagon,Orthodox,Jabs,Left Jab to Head,LeftJabHi + RightHookHi + LeftHookHi,Hooks,Right Leg Kick,LeftHookHi + LeftJabHi + RightUppercutHi,Body Kicks,Left Hook to Head,LeftJabHi + RightUppercutHi + LeftHookHi,0,0,8%,0,UFC,0,0.4,0,7,0,0,73%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-05/2d520d9d-b8c0-4a67-a47c-b863afc271ce%252FGAETHJE_JUSTIN_05-07.png,81.2%,66.0%,-13,0,1.3,1.6,1.5,0.7,0,0.2%,0,50%,0.5%,17.0%,0.9%,17.5%,1.6%,2.0%,0.7%,0.5%,0.0%,0,19%,0,68,0,0,0,0,0,0,0,0,61.3%,41.7%,67,5.2,8.5,2-1,0-0,3-0,0.7%,0,50%,0.0%,8.0%,0.9%,0.5%,0.2%,17.3%,10.9%,8.9%,0.2%,40%,39.7%,26%,25.9%,22%,22.0%,5%,5.1%,7%,7.2%,16,0,0,0,0,0,0,0,0,0,66.2%,52.9%,54,7.2,10.9,0,6.6,1.1,0,1.2,0,0,0,0,0,0,0,0,87%,33.3%,,0,0.7,0,0.4,0.6,0,2.6,1.1,0,0,2.0%,1.8%,1.4%,1.6%,4.8%,0.4,6480bbd159b391b3ca0a1993,3%,0,49.9,JustinGaethjeThe Highlight,Justin Gaethje,Male,0,6%,"5'11""",1.5,57%,26%,4,The Highlight,155.3,"Safford, United States",4,70,https://www.fightstats.xyz/search?q=Justin Gaethje,91%,43%,74%,5.5,6,Lightweight,25
